DateTime,AddedIPs,RemovedIPs
1512452478,1,0
1512805318,0,1
1512915692,0,1
1512937970,1,0
1512959818,0,1
1513048160,0,1
1513092280,1,0
1513257634,1,0
1513543962,0,1
1513588158,1,0
1513697881,0,1
1513764103,1,0
1513874666,0,1
1513897353,1,0
1513941422,1,0
1514095972,1,0
1514183898,0,1
1514271885,1,0
1514491960,0,1
1514623961,1,0
1514668039,2,0
1514756238,1,0
1514866375,0,1
1515266665,0,1
1515310368,0,1
1515332446,0,1
1515354530,0,1
1515376604,1,0
1515531535,0,1
1515597852,0,1
1515752084,1,0
1515929115,1,1
1515973757,1,1
1516039910,1,0
1516061822,1,0
1516281958,1,0
1516558383,0,1
1516602321,0,1
1516624363,1,0
1516646416,0,1
1516668267,0,1
1516734083,1,0
1516800281,1,0
1516888140,0,1
1517219082,0,1
1517340523,0,1
1517362605,1,0
1517683013,0,1
1517727170,0,1
1517936681,0,1
1518139706,1,0
1518294277,1,0
1518427010,1,0
1518471105,2,0
1518493243,2,0
1518627166,1,0
1518759621,0,1
1518891381,0,1
1519068044,0,1
1519111948,0,2
1519134032,0,1
1519178188,0,1
1519244924,0,1
1519355072,1,0
1519807035,1,0
1519972331,1,1
1520414666,0,1
1520546480,0,1
1520780907,1,0
1520913704,1,0
1521112119,2,0
1521178361,1,0
1521399278,1,0
1521509775,0,1
1521531627,1,0
1521553479,1,0
1521707807,0,1
1521729878,0,1
1521796361,0,1
1522016680,0,1
1522038752,1,0
1522060823,1,0
1522126994,1,1
1522149166,0,1
1522171210,1,0
1522282529,1,0
1522503404,0,1
1522680277,0,1
1522702350,0,1
1522724193,0,1
1522768356,0,1
1522812605,0,1
