DateTime,AddedIPs,RemovedIPs
1515095110,1,0
1515106808,0,1
1515116707,0,1
1515134708,0,1
1515172505,0,1
1515230109,0,1
1515239109,1,0
1515258009,1,0
1515265208,0,1
1515267909,0,5
1515275107,0,2
1515294008,0,1
1515347107,0,1
1515416407,0,1
1515429907,0,1
1515526209,0,1
1515537910,0,3
1515540609,0,1
1515578407,0,1
1515663008,0,1
1515677407,0,1
1515687307,0,1
1515717009,1,0
1515741308,0,4
1515743107,0,1
1515750308,0,3
1515756611,1,0
1515758408,0,1
1515767409,0,1
1515777310,1,0
1515789906,1,0
1515870908,0,3
1515872709,1,0
1515879908,0,1
1515885307,0,1
1515890709,0,1
1515898810,0,1
1515933908,0,1
1515943810,0,1
1516010408,1,0
1516015808,1,0
1516021210,1,0
1516023010,4,0
1516026609,1,0
1516027509,1,0
1516033808,0,2
1516037407,0,1
1516055407,0,1
1516063509,0,1
1516065310,0,1
1516068008,0,1
1516093208,1,0
1516098608,0,2
1516102207,0,1
1516108508,1,0
1516110310,1,0
1516117507,1,0
1516135507,1,1
1516136407,0,1
1516148108,0,1
1516166108,1,0
1516169708,0,1
1516171509,1,0
1516175108,1,0
1516176908,1,1
1516180508,0,1
1516182309,0,1
1516185906,1,0
1516191310,1,1
1516193108,1,0
1516197610,1,0
1516217406,0,1
1516218309,0,1
1516225506,0,1
1516248008,1,0
1516249808,1,1
1516257007,2,0
1516267809,1,0
1516272309,1,1
1516275009,0,1
1516279509,5,0
1516292107,0,1
1516295708,1,0
1516304708,2,0
1516321809,1,0
1516329909,0,1
1516347909,0,1
1516348807,0,1
1516352408,1,0
1516356008,1,0
1516357809,1,0
1516358708,0,1
1516373109,3,1
1516374010,7,0
1516375810,1,0
1516383909,0,1
1516389307,0,1
1516401007,0,2
1516431607,1,0
1516445108,1,0
1516454109,1,0
1516459509,1,0
1516464007,1,0
1516488307,1,0
1516509908,1,0
1516516208,0,1
1516555808,0,1
1516602607,1,0
1516614309,0,2
1516623308,0,1
1516652109,0,1
