DateTime,AddedIPs,RemovedIPs
1516557382,1,1
1516563147,0,1
1516574690,0,2
1516576631,0,1
1516586517,0,1
1516592200,1,0
1516603713,1,0
1516615284,1,0
1516628798,1,0
1516640485,1,0
1516642371,1,1
1516646181,1,0
1516651970,1,0
1516679544,0,1
1516691073,0,1
1516702588,0,1
1516710303,1,0
1516714165,1,0
1516716138,0,1
1516718218,1,0
1516725888,1,0
1516727812,0,2
1516732847,0,1
1516738648,0,1
1516748238,1,0
1516758524,1,0
1516762335,1,0
1516773903,1,0
1516797420,1,1
1516801291,0,1
1516803251,0,1
1516812794,0,1
1516826423,2,0
1516834055,0,1
1516845910,0,1
1516847834,0,1
1516853595,1,0
1516859315,0,1
1516866987,1,0
1516870894,1,0
1516874685,1,0
1516876627,1,0
1516882362,0,1
1516913083,1,2
1516915023,1,0
1516921710,1,0
1516931648,1,0
1516937298,1,0
1516939319,0,1
1516950864,1,0
1516952899,1,1
1516956737,0,1
1516960577,0,1
1516964197,1,1
1516970437,1,0
1516980033,1,0
1516981942,1,0
1516999705,0,1
1517001632,0,1
1517003565,2,0
1517008039,0,1
1517018206,0,1
1517024058,0,1
1517037623,0,2
1517049408,1,0
1517051328,0,1
1517057063,0,1
1517059195,1,0
1517067024,1,1
1517068892,0,1
1517088505,1,0
1517090566,0,2
1517098491,1,0
1517134514,1,0
1517136502,0,1
1517144173,1,0
1517146099,0,1
1517152351,0,1
1517175631,0,1
1517177566,2,0
1517185467,0,1
1517220939,0,1
1517230604,0,1
1517256245,1,0
1517264201,0,2
1517266110,1,0
1517276686,1,0
1517301635,1,0
1517322101,1,0
1517330032,1,0
1517341541,2,1
1517347230,1,0
1517353356,0,1
1517357324,1,0
1517363079,0,1
1517365049,1,0
1517374601,1,0
1517382332,1,0
1517388285,0,1
1517396083,2,0
1517407747,0,1
1517409868,2,0
1517417562,0,1
1517425709,1,0
1517427625,0,2
1517429571,1,0
1517433409,0,1
1517443303,0,1
1517449228,1,0
1517451150,0,1
1517460749,1,1
1517466504,2,0
1517468483,0,1
1517474190,1,0
1517481868,0,2
1517495713,0,2
1517497714,1,0
1517511141,0,1
1517516918,0,1
1517518980,2,0
1517526992,1,0
1517532734,1,0
1517536576,1,1
1517546436,0,1
1517554122,0,2
1517559874,0,1
1517566018,1,0
1517575947,1,0
1517581700,1,0
1517583679,0,1
1517604744,1,2
1517612554,0,1
1517620624,0,1
1517622517,0,1
1517624435,1,0
1517638130,1,0
1517651566,0,1
1517655693,1,0
1517663555,0,1
1517667392,0,1
1517677301,1,0
1517691174,0,1
1517710142,2,1
1517719720,1,0
1517725472,0,1
1517727389,1,0
1517741336,1,1
1517758587,1,0
1517762531,0,1
1517781860,1,0
1517783667,1,0
1517791972,1,0
1517796090,0,2
1517805651,0,1
1517807572,2,0
1517811422,1,0
1517813338,0,1
1517829850,1,1
1517833695,1,0
1517837484,1,0
1517845481,0,1
1517859407,1,0
1517867324,0,1
1517869227,0,1
1517878927,0,1
1517894207,0,2
1517898023,0,1
1517916396,0,1
1517920109,0,1
1517924182,0,1
1517940270,1,0
1517946271,0,1
1517965474,1,0
1517980836,1,0
1517988509,1,0
1517998609,1,0
1518002526,1,0
1518019731,2,0
1518027410,0,1
1518041458,1,0
1518050447,0,1
1518065780,0,1
1518069876,1,0
1518075620,0,1
1518083317,1,1
1518089058,0,1
1518097463,1,0
1518107317,0,2
1518124612,1,0
1518128928,0,1
1518136853,1,0
1518143009,1,0
1518151031,1,0
1518157056,0,1
1518160846,1,0
1518170483,1,1
1518180028,1,0
1518183858,1,1
1518190121,1,0
1518198017,1,0
1518209783,1,0
1518211728,0,1
1518220124,1,0
1518222058,0,1
1518229976,0,1
1518235973,1,1
1518246084,0,1
1518247886,1,0
1518256151,0,1
1518267712,0,1
1518269573,0,1
1518275858,0,1
1518285683,0,1
1518295500,0,1
1518308006,0,1
1518315910,1,0
1518321678,0,1
1518333882,0,1
1518355977,2,0
1518361939,1,0
1518371567,1,0
1518390110,1,0
1518402037,0,1
1518443082,0,2
1518446933,0,1
1518456986,1,0
1518458937,0,1
1518475459,0,1
1518495395,1,0
1518544131,0,1
1518566395,1,0
1518569239,1,0
1518575361,1,0
1518577833,1,0
1518581764,0,1
1518619224,1,0
1518629095,1,0
1518650927,1,1
1518656924,0,1
1518663164,0,2
1518675409,1,0
1518691237,1,0
