DateTime,AddedIPs,RemovedIPs
1512716464,0,2
1512752499,1,0
1512766898,1,0
1512781291,0,1
1512784893,1,0
1512792091,0,1
1512799292,1,1
1512813695,1,0
1512828092,0,1
1512838893,1,0
1512853290,0,1
1512867692,1,0
1512878490,0,1
1512882054,0,1
1512903690,1,0
1512921653,0,1
1512925290,1,0
1512939653,0,1
1512961298,1,0
1513004464,0,1
1513022499,1,0
1513080061,0,1
1513083702,1,0
1513108864,0,1
1513112498,1,0
1513137664,0,1
1513141303,2,0
1513155699,0,1
1513166496,1,0
1513180902,0,1
1513191702,1,0
1513206099,0,1
1513285265,0,1
1513288903,1,0
1513346463,0,1
1513350099,1,0
1513364499,1,1
1513375297,1,0
1513378901,0,1
1513400459,0,1
1513411297,1,0
1513425657,0,1
1513429292,1,0
1513447253,0,1
1513454491,1,0
1513461692,1,0
1513479690,0,1
1513504855,0,1
1513508494,1,0
1513512093,1,0
1513519291,1,0
1513526491,0,1
1513533691,0,1
1513537256,0,1
1513540892,1,0
1513576861,0,1
1513580502,1,0
1513609263,0,1
1513612899,1,0
1513681261,0,1
1513702894,1,0
1513724461,0,1
1513735296,1,0
1513742499,1,0
1513749700,0,1
1513825298,1,0
1513836103,0,1
1513839661,0,1
1513850497,1,0
1513854100,1,0
1513868500,0,1
1513872062,0,1
1513879298,1,0
1513897264,0,1
1513908099,1,0
1513929700,1,0
1513940502,0,1
1513944062,0,1
1513958501,1,0
1513972901,1,0
1513987264,0,2
1513998092,1,0
1514005292,2,0
1514019690,0,2
1514059290,1,0
1514080855,0,2
1514091692,1,0
1514131291,1,0
1514160089,0,1
1514167299,1,0
1514170897,0,1
1514181664,0,1
1514185292,1,0
1514253663,0,1
1514257297,1,0
1514260898,1,0
1514275303,0,1
1514368903,1,0
1514383304,0,1
1514401269,0,1
1514477024,1,0
1514491468,1,1
1514506008,1,0
1514513032,2,0
1514520228,0,1
1514527437,1,2
1514538251,2,0
1514541836,0,1
1514552627,0,2
1514581421,1,0
1514595673,0,2
1514631695,1,0
1514692860,0,1
1514700096,1,0
1514714455,0,1
1514757856,1,0
1514772075,0,1
1514865769,1,0
1514880152,2,1
1514890941,1,0
1514894506,0,2
1514905266,0,1
1515006097,2,0
1515020438,0,2
1515074561,1,0
1515092454,0,1
1515103292,1,0
1515117661,0,1
1515121387,1,0
1515150046,0,1
1515197102,1,0
1515214867,0,1
1515287062,2,0
1515290656,1,0
1515301447,0,2
1515304914,0,1
1515333689,1,0
1515348069,0,1
1515351744,1,0
1515366087,0,1
1515373416,1,0
1515387676,0,1
1515391419,2,0
1515405676,0,2
1515412983,2,0
1515434461,0,2
1515474211,1,0
1515477774,2,0
1515488493,0,1
1515492092,1,2
1515506442,0,1
1515513803,2,0
1515528084,0,2
1515553392,1,0
1515567807,2,1
1515582091,0,2
1515618186,1,0
1515632505,0,1
1515643430,2,0
1515661246,0,2
1515690094,2,0
1515704447,0,2
1515942092,1,0
1515945690,2,0
1515960089,0,2
1516017662,0,1
1516089652,1,0
1516262485,1,0
1516276891,0,1
1516417289,1,0
1516431690,0,1
1516435288,1,0
1516453294,0,1
1516482098,1,0
1516496492,0,1
1516507291,1,0
1516521691,0,1
1516611691,2,0
1516626088,0,2
1516726881,1,0
1516741282,0,1
1516813283,2,0
1516827683,0,2
1516852889,1,0
1516867291,0,1
1516989690,1,0
1516996885,2,0
1517004092,0,1
1517011293,0,2
1517130094,1,0
1517144490,0,1
1517166093,1,0
1517176889,1,0
1517180489,0,1
1517191299,0,1
1517209288,2,0
1517223697,0,1
1517230894,0,1
1517274092,1,0
1517295690,0,1
1517306494,1,0
1517320892,0,1
1517335291,1,0
1517342492,1,0
1517349691,0,1
1517356896,0,1
1517360489,2,0
1517374890,0,2
1517403688,1,0
1517418093,0,1
1517454086,1,0
1517468492,0,1
1517479289,1,0
1517500889,0,1
1517576490,1,0
1517608893,0,1
1517677290,1,0
1517691698,0,1
1517760093,1,0
1517763690,2,0
1517774494,0,1
1517778095,0,2
1517914895,1,0
1517929291,0,1
1518004894,1,0
1518019263,0,2
1518094885,1,0
1518109298,1,0
1518141681,0,1
1518174099,1,0
1518188484,0,1
1518202890,1,0
1518206486,2,0
1518228085,0,1
1518235307,1,0
1518246116,0,2
1518260485,0,1
1518303678,2,0
1518307287,1,0
1518318103,0,2
1518328895,1,0
1518336095,0,1
1518343288,0,1
1518357704,1,0
1518372085,0,1
1518393699,1,0
1518408089,0,1
1518472899,1,0
1518483683,1,0
1518487286,0,1
1518490882,1,0
1518498101,0,1
