DateTime,Entries,UniqueIPs
1520905812,1439,1439
1520907621,1440,1440
1520911210,1437,1437
1520914816,1441,1441
1520916618,1442,1442
1520919318,1439,1439
1520922028,1444,1444
1520926517,1443,1443
1520929214,1441,1441
1520931921,1442,1442
1520936410,1443,1443
1520943617,1444,1444
1520950814,1438,1438
1520954412,1437,1437
1520958009,1437,1437
1520965204,1434,1434
1520972408,1436,1436
1520973319,1437,1437
1520976011,1436,1436
1520980507,1435,1435
1520986813,1439,1439
1520994005,1439,1439
1521001201,1438,1438
1521003011,1439,1439
1521004806,1439,1439
1521005714,1440,1440
1521008406,1436,1436
1521015616,1439,1439
1521022813,1443,1443
1521030145,1438,1438
1521033607,1436,1436
1521034515,1435,1435
1521037205,1428,1428
1521041723,1428,1428
1521044427,1423,1423
1521048008,1419,1419
1521052510,1424,1424
1521055208,1423,1423
1521058823,1419,1419
1521061527,1420,1420
1521062408,1418,1418
1521063313,1419,1419
1521066026,1420,1420
1521068720,1421,1421
1521070519,1422,1422
1521071412,1423,1423
1521073205,1426,1426
1521074118,1427,1427
1521076814,1428,1428
1521077722,1429,1429
1521080423,1425,1425
1521083128,1426,1426
1521084014,1425,1425
1521087607,1424,1424
1521091222,1422,1422
1521095717,1421,1421
1521097510,1422,1422
1521098436,1421,1421
1521100220,1422,1422
1521102920,1423,1423
1521109212,1421,1421
1521116423,1459,1459
1521122718,1460,1460
1521123613,1459,1459
1521125418,1458,1458
1521130822,1456,1456
1521134420,1457,1457
1521138022,1460,1460
1521139812,1461,1461
1521146113,1464,1464
1521152420,1463,1463
1521157814,1464,1464
1521159616,1467,1467
1521166817,1461,1461
1521169520,1462,1462
1521174019,1465,1465
1521175814,1466,1466
1521179414,1467,1467
1521181213,1460,1460
1521188416,1459,1459
1521196515,1461,1461
1521202944,1463,1463
1521206417,1469,1469
1521210014,1471,1471
1521216325,1479,1479
1521217209,1484,1484
1521220814,1483,1483
1521224417,1484,1484
1521231614,1489,1489
1521235213,1488,1488
1521238811,1488,1488
1521246009,1484,1484
1521253213,1479,1479
1521258618,1478,1478
1521260416,1474,1474
1521264914,1474,1474
1521267607,1473,1473
1521274813,1477,1477
1521278411,1475,1475
1521282014,1478,1478
1521289218,1479,1479
1521295506,1478,1478
1521296405,1478,1478
1521303613,1479,1479
1521307210,1478,1478
1521310807,1482,1482
1521314407,1481,1481
1521318004,1476,1476
1521323409,1475,1475
1521326109,1480,1480
1521332413,1478,1478
1521339608,1478,1478
1521346811,1480,1480
1521354009,1480,1480
1521361209,1481,1481
1521368408,1473,1473
1521377539,1468,1468
1521381928,1467,1467
1521382812,1472,1472
1521390011,1471,1471
1521397206,1470,1470
1521404407,1469,1469
1521411609,1474,1474
1521418808,1474,1474
1521426009,1474,1474
1521433204,1471,1471
1521440410,1472,1472
1521447610,1473,1473
1521454810,1477,1477
1521462925,1487,1487
1521468310,1486,1486
1521469213,1479,1479
1521476407,1483,1483
1521483615,1488,1488
1521490808,1490,1490
1521498017,1488,1488
1521505215,1488,1488
1521512408,1484,1484
1521519608,1481,1481
1521526812,1485,1485
1521534014,1487,1487
1521541208,1485,1485
1521547516,1492,1492
1521548408,1496,1496
1521555614,1493,1493
1521561011,1494,1494
1521562817,1497,1497
1521570024,1501,1501
1521577216,1497,1497
1521583523,1498,1498
1521584424,1498,1498
1521591619,1499,1499
1521595215,1498,1498
1521598811,1494,1494
1521606016,1492,1492
1521610510,1493,1493
1521613213,1494,1494
1521620419,1494,1494
1521628510,1493,1493
1521634815,1498,1498
1521638333,1490,1490
1521641885,1489,1489
1521649086,1488,1488
1521656290,1495,1495
1521663487,1493,1493
1521670682,1502,1502
1521677887,1501,1501
1521685081,1501,1501
1521688689,1500,1500
1521692288,1498,1498
1521699481,1501,1501
1521703079,1500,1500
1521706686,1500,1500
1521713883,1503,1503
1521720181,1502,1502
1521721167,1487,1487
1521725710,1608,1608
1521728404,1606,1606
1521735609,1600,1600
1521742807,1607,1607
1521750005,1608,1608
1521757197,1613,1613
1521764408,1615,1615
1521771610,1611,1611
1521774301,1612,1612
1521776110,1613,1613
1521777909,1614,1614
1521778805,1612,1612
1521783317,1613,1613
1521786008,1614,1614
1521786898,1615,1615
1521793208,1617,1617
1521799509,1618,1618
1521800408,1621,1621
1521807611,1635,1635
1521811208,1629,1629
1521814813,1627,1627
1521818409,1626,1626
1521821114,1619,1619
1521822008,1615,1615
1521829208,1618,1618
