DateTime,AddedIPs,RemovedIPs
1512408275,1,0
1512629061,1,0
1512650924,0,1
1512739381,0,1
1512871498,0,1
1513026255,0,1
1513048150,1,0
1513114128,1,0
1513202204,1,0
1513224278,0,1
1513632041,0,1
1513697876,1,0
1513764098,1,0
1513808624,0,1
1513852611,1,0
1513897346,1,0
1513985813,1,0
1514007882,1,0
1514227964,0,1
1514359752,1,1
1514382041,0,1
1514469947,0,1
1514514024,0,1
1514602008,0,2
1514800213,1,0
1514910502,1,0
1515286589,1,0
1515396765,0,1
1515551068,0,1
1515705431,1,0
1515882821,1,1
1516191869,1,0
1516523108,0,1
1516610929,0,1
1516677356,1,0
1516699243,1,0
1516821171,1,0
1517273316,0,1
1517339289,1,0
1517427371,0,1
1517471300,0,1
1517493156,0,1
1517515002,1,0
1517713686,0,1
1517879532,1,0
1517923478,0,1
1517967387,1,0
1518144032,0,1
1518232614,1,0
1518465138,0,1
1518763364,1,0
1518829326,1,1
1519314039,0,1
1519357965,0,1
1519424194,0,1
1519741722,1,0
1519874199,1,0
1520138650,1,0
1520358769,0,1
1520513322,1,0
1520580043,0,1
1521715965,0,1
1521946937,1,0
1522190289,0,2
