DateTime,AddedIPs,RemovedIPs
1521996804,1,0
1521999686,0,1
1522003850,1,0
1522005290,0,1
1522006260,1,0
1522008874,1,0
1522009799,1,0
1522013411,0,1
1522018210,1,0
1522022208,0,1
1522024973,1,0
1522025800,2,1
1522026659,2,0
1522028466,0,1
1522029338,0,1
1522034823,1,0
1522035651,0,2
1522037455,1,0
1522039261,2,2
1522044959,3,1
1522047684,0,2
1522049482,0,4
1522051683,0,4
1522052928,2,0
1522053981,1,1
1522055249,1,0
1522057926,1,1
1522061187,0,2
1522063357,1,1
1522065476,1,0
1522066612,1,0
1522069002,1,1
1522071951,1,1
1522075573,0,1
1522077284,7,0
1522078963,1,4
1522080889,0,1
1522081963,1,0
1522084540,0,2
1522085324,1,0
1522086387,1,2
1522087769,2,0
1522088750,1,0
1522091619,1,0
1522096976,1,0
1522097825,1,0
1522098942,1,0
1522101371,1,0
1522108986,1,1
1522110657,1,1
1522114103,3,2
1522116903,0,3
1522118679,2,0
1522120480,3,1
1522123672,1,2
1522125076,1,1
1522125975,3,0
1522126624,1,0
1522128632,1,1
1522133168,3,1
1522134885,1,1
1522136531,1,1
1522140404,2,0
1522143132,1,2
1522146681,3,0
1522148214,0,1
1522149319,1,0
1522150914,1,0
1522154168,0,3
1522157325,2,0
1522158388,2,1
1522159603,0,2
1522160082,1,0
1522161032,0,1
1522163754,0,2
1522165390,1,12
1522167060,0,1
1522168488,2,0
1522172215,0,1
1522177012,0,1
1522178148,2,0
1522179022,0,1
1522182721,1,1
1522186248,0,1
1522187826,0,1
1522190561,0,1
1522194961,0,4
1522197109,0,1
1522199719,2,0
1522201579,1,0
1522205130,1,1
1522206960,0,1
1522213008,3,0
1522213859,1,0
1522215127,1,3
1522216602,3,0
1522217736,1,0
1522221303,1,0
1522222591,0,1
1522224895,1,1
1522226477,3,0
1522227580,1,0
1522228475,1,0
1522229459,1,0
1522235719,3,1
1522237558,0,1
1522241629,1,0
1522242645,1,1
1522244576,1,0
1522245392,0,2
1522248157,0,5
1522249057,1,1
1522251393,1,7
1522254527,1,0
1522257053,1,1
1522258858,0,2
1522262755,1,0
1522264160,1,0
1522266186,5,0
1522266994,0,1
1522268075,1,1
1522269571,1,0
1522272663,1,0
1522276969,2,0
1522278142,0,1
1522281959,0,4
1522282859,2,0
1522284771,2,0
1522286086,3,0
1522287775,0,2
1522288609,0,2
1522290671,0,2
1522294253,0,3
1522295166,0,2
1522296258,0,1
1522298574,2,1
1522300262,0,1
1522301751,1,2
1522305071,1,1
1522305754,0,1
1522307711,1,0
1522312012,3,0
1522314618,2,1
1522320156,1,0
1522323636,3,2
1522326501,1,0
1522330776,1,2
1522332952,1,0
1522333907,0,2
1522334843,1,0
1522336358,1,0
1522337737,1,10
1522340743,1,0
1522343703,1,0
1522346199,1,1
1522348202,0,1
1522350650,1,0
1522352554,0,1
1522354254,1,0
1522355133,1,0
1522356032,0,1
1522357851,1,0
1522361682,1,0
1522363363,1,0
1522365934,1,0
1522367802,0,1
1522368653,1,0
1522372261,0,2
1522374998,0,1
1522381362,0,2
1522383357,2,0
1522384112,2,0
1522385157,2,1
1522386104,0,1
1522386951,1,0
1522387863,1,0
1522389410,0,1
1522391281,1,0
1522392231,1,0
1522394081,1,1
1522397682,1,2
1522398659,3,0
1522399352,1,1
1522400201,2,0
1522401273,2,0
1522404651,0,3
1522408243,1,0
1522409126,1,0
1522410051,1,0
1522414103,1,0
1522415368,0,2
1522416513,1,0
1522419042,1,0
1522421137,0,1
1522424455,0,12
1522425398,0,1
1522426260,3,0
1522427329,1,0
1522428633,1,1
1522429856,2,0
1522430793,3,0
1522432132,1,0
1522433683,0,2
1522435369,0,3
1522437056,0,1
1522438954,0,2
1522443335,1,2
1522446161,0,2
1522451458,1,0
1522453552,0,2
1522455286,0,2
1522456262,2,3
1522458652,33,1
1522464042,1,0
1522467814,0,2
1522469682,1,0
1522470535,3,0
1522471353,0,1
1522472351,1,0
1522474589,0,1
1522476955,0,1
1522481913,0,1
1522482934,1,0
1522484925,4,0
1522485761,0,1
1522489540,1,0
1522490596,1,1
1522493799,0,1
1522494650,1,0
1522498475,0,1
1522501002,0,1
1522501851,1,0
1522505445,1,1
1522506945,1,1
1522508197,21,0
1522510962,0,10
1522514522,4,3
1522516841,1,0
1522518059,1,0
1522521040,1,0
1522522923,2,1
1522523681,0,1
1522525556,1,1
1522527036,0,1
1522528265,3,0
1522536145,0,1
1522538080,1,0
1522539753,2,0
1522540610,0,1
1522544809,4,0
1522551423,0,1
1522555947,3,3
1522557662,1,1
1522561620,3,1
1522562579,1,0
1522563642,1,0
1522564479,1,0
1522569405,0,4
1522572048,3,0
1522574050,1,0
1522576777,1,0
1522578937,1,2
1522581282,1,0
1522583815,2,1
1522586605,2,1
1522587402,2,1
1522590153,0,1
1522595456,1,0
1522597256,0,13
1522598517,0,2
1522599275,1,0
1522600550,2,3
1522602652,0,1
1522609498,1,1
1522613673,1,1
1522620928,0,1
1522626053,0,1
1522626946,1,0
1522627844,0,32
1522630681,1,0
1522633970,1,0
1522635272,0,1
1522641414,0,3
1522642235,1,0
1522651431,1,0
1522652204,0,1
1522653056,1,0
1522654990,1,3
1522658744,6,0
1522660854,1,0
1522663180,1,0
1522664916,1,0
1522665734,1,1
1522666899,1,0
1522670106,1,0
1522672974,4,1
1522674655,2,0
1522676558,3,22
1522679780,0,1
1522683062,1,5
1522685020,1,0
1522686517,3,0
1522691157,2,0
1522693440,1,2
1522694876,0,3
1522698963,0,2
1522706873,1,1
1522708971,1,2
1522710876,0,1
1522712794,0,1
1522714249,1,4
1522716091,0,1
1522717012,1,0
1522718124,1,0
1522719093,1,0
1522725279,0,1
1522726247,0,1
1522727437,1,1
1522728905,4,0
1522732055,0,1
1522732903,1,0
1522737987,0,1
1522739458,1,0
1522740725,1,0
1522742196,1,1
1522743304,1,0
1522744274,3,0
1522748669,1,0
1522749887,1,1
1522751738,0,1
1522752823,1,0
1522753853,1,1
1522757684,3,0
1522758644,1,0
1522764123,1,0
1522765874,1,0
1522766553,2,0
1522770033,0,26
1522772073,1,0
1522773048,3,0
1522774599,6,0
1522775683,0,1
1522777364,2,0
1522778266,2,1
1522779355,2,0
1522780961,2,0
1522782182,0,1
1522791660,1,0
1522794504,2,0
1522797056,1,1
1522798254,1,0
1522800406,0,1
1522801256,1,0
1522802160,1,0
1522804246,0,1
1522809936,1,0
1522812682,2,1
1522813545,1,0
1522815049,1,0
1522817810,0,1
1522820131,1,0
1522822245,1,0
1522823745,0,2
1522825858,3,0
1522828596,1,1
1522830696,3,1
1522832500,0,1
1522834534,0,1
1522837817,1,0
1522840061,1,0
1522843615,1,4
1522845297,0,3
1522846347,1,0
1522846581,1,0
1522848299,1,0
1522851283,1,0
1522852124,0,1
1522852980,0,1
1522853803,0,1
1522854903,1,0
1522857394,3,12
1522859445,2,0
1522861861,3,2
1522863755,1,0
1522865449,11,0
1522870963,1,0
1522874771,1,0
1522877742,0,1
1522883218,0,1
1522888848,0,1
1522891257,1,0
1522892463,0,1
1522895438,1,0
1522896995,0,1
1522899958,1,2
1522903364,0,1
1522905057,1,0
1522906248,1,0
1522907746,1,0
1522908876,2,1
1522912528,1,0
1522915846,3,0
1522917248,1,0
1522918530,1,1
1522919458,1,0
1522921354,1,0
1522923044,2,2
1522926947,0,2
1522928142,1,2
1522931972,2,0
1522935683,0,1
1522939272,1,0
1522943143,0,13
1522944095,0,5
1522944949,5,0
1522946571,2,2
1522948478,1,4
1522949453,0,2
1522951858,4,1
1522953945,1,0
1522957370,1,0
1522958273,2,0
1522959320,1,0
1522966260,2,2
1522968164,0,1
1522971066,0,2
1522973696,1,0
1522974683,1,0
1522976242,1,0
1522981096,1,1
1522982110,0,3
1522986167,1,0
1522988080,1,0
1522991686,0,1
1522994770,1,0
1522995664,1,0
1522996985,0,3
1522999897,0,1
1523000576,1,0
1523004623,5,1
1523005565,1,0
1523009443,2,0
1523011354,0,1
1523013348,3,0
1523014282,1,0
1523016643,1,0
1523018115,3,1
1523019090,0,1
1523020962,1,0
1523028461,4,2
1523029354,0,12
1523030401,0,2
1523031349,6,0
1523032312,1,1
1523034194,0,1
1523035247,6,0
1523037041,1,1
1523037947,0,1
1523040995,1,1
1523042360,1,0
1523048917,0,1
1523052362,1,0
1523054144,1,0
1523056532,1,0
1523062547,3,2
1523063745,0,1
1523065410,0,1
1523067048,1,0
1523074249,0,1
1523076052,0,2
1523081677,0,1
1523083354,1,0
1523085373,0,1
1523086959,0,1
1523091942,1,2
1523097099,3,1
1523097946,0,1
1523100660,0,1
1523101357,1,0
1523103283,2,0
1523105711,1,0
1523108635,0,1
1523110473,2,0
1523117454,0,13
1523118333,4,0
1523124456,2,5
1523127951,1,2
1523130633,1,0
1523136046,3,3
1523140961,1,0
1523144257,3,3
1523145604,1,0
1523147696,2,1
1523150145,0,1
1523152593,1,2
1523153684,1,1
1523154644,0,2
1523155354,1,0
1523157044,1,0
1523158542,1,1
